latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.59753954,32.656742,1137.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm)
2024-01-05T10:00,25.0,59,16.5,0.00,0.00
2024-01-05T11:00,26.7,45,13.9,0.00,0.00
2024-01-05T12:00,27.7,41,13.3,0.00,0.00
2024-01-05T13:00,28.8,37,12.8,0.00,0.00
2024-01-05T14:00,28.8,38,13.0,0.10,0.10
2024-01-05T15:00,29.0,38,13.1,0.00,0.00
2024-01-05T16:00,27.9,41,13.6,0.00,0.00
2024-01-05T17:00,27.7,42,13.6,0.00,0.00
2024-01-05T18:00,26.1,49,14.4,0.00,0.00
2024-01-05T19:00,23.1,62,15.4,0.00,0.00
2024-01-05T20:00,21.4,77,17.1,0.00,0.00
2024-01-05T21:00,20.6,81,17.2,0.00,0.00
2024-01-05T22:00,20.1,83,17.2,0.00,0.00
2024-01-05T23:00,19.9,84,17.1,0.00,0.00
2024-01-06T00:00,20.1,83,17.1,0.00,0.00
2024-01-06T01:00,19.7,87,17.4,0.00,0.00
2024-01-06T02:00,19.0,92,17.7,0.00,0.00
2024-01-06T03:00,18.7,93,17.6,0.00,0.00
2024-01-06T04:00,18.5,92,17.3,0.00,0.00
2024-01-06T05:00,18.2,94,17.3,0.00,0.00
2024-01-06T06:00,18.0,96,17.3,0.00,0.00
2024-01-06T07:00,17.5,97,17.1,0.00,0.00
2024-01-06T08:00,19.6,90,17.9,0.00,0.00
2024-01-06T09:00,22.6,79,18.8,0.00,0.00
2024-01-06T10:00,24.9,69,18.7,0.00,0.00
2024-01-06T11:00,26.3,57,17.2,0.20,0.20
2024-01-06T12:00,27.5,51,16.5,0.10,0.10
2024-01-06T13:00,28.4,47,15.9,0.00,0.00
2024-01-06T14:00,29.0,44,15.5,0.00,0.00
2024-01-06T15:00,29.0,43,15.1,0.00,0.00
2024-01-06T16:00,29.3,41,14.5,0.00,0.00
2024-01-06T17:00,28.7,40,13.9,0.00,0.00
2024-01-06T18:00,26.9,46,14.2,0.00,0.00
2024-01-06T19:00,24.0,56,14.6,0.00,0.00
2024-01-06T20:00,23.1,58,14.4,0.00,0.00
2024-01-06T21:00,21.5,68,15.4,0.00,0.00
2024-01-06T22:00,20.1,87,18.0,0.00,0.00
2024-01-06T23:00,19.5,92,18.1,0.00,0.00
2024-01-07T00:00,18.8,95,18.0,0.00,0.00
2024-01-07T01:00,18.8,95,17.9,0.00,0.00
2024-01-07T02:00,18.4,95,17.6,0.00,0.00
