latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.375,32.375,1184.0,10800,Africa/Kampala,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),cloud_cover (%),wind_gusts_10m (km/h)
2022-01-01T00:00,19.2,84,16.4,20.8,0.00,100,6.5
2022-01-01T01:00,19.3,83,16.3,21.0,0.00,100,7.6
2022-01-01T02:00,19.3,83,16.3,20.8,0.00,100,10.4
2022-01-01T03:00,17.7,84,14.9,18.7,0.00,100,6.1
2022-01-01T04:00,17.6,98,17.2,19.6,0.00,100,8.6
2022-01-01T05:00,17.5,97,17.0,19.5,0.00,100,7.2
2022-01-01T06:00,17.1,97,16.6,18.7,0.00,81,4.7
2022-01-01T07:00,17.4,96,16.7,19.2,0.00,100,5.0
2022-01-01T08:00,18.6,93,17.4,20.9,0.00,100,6.8
2022-01-01T09:00,20.1,92,18.7,22.7,0.00,100,12.2
2022-01-01T10:00,20.8,91,19.2,23.4,0.00,100,15.1
2022-01-01T11:00,21.2,89,19.3,24.1,0.00,100,12.2
2022-01-01T12:00,21.9,85,19.2,26.0,0.00,100,9.0
2022-01-01T13:00,22.3,80,18.6,25.4,0.00,100,8.3
2022-01-01T14:00,23.5,71,17.9,26.9,0.00,100,5.0
2022-01-01T15:00,23.6,69,17.6,26.3,0.00,100,11.2
2022-01-01T16:00,24.0,63,16.5,25.1,0.00,100,15.1
2022-01-01T17:00,23.6,62,15.9,24.4,0.00,100,17.3
2022-01-01T18:00,22.9,66,16.2,24.0,0.00,70,19.4
2022-01-01T19:00,19.6,82,16.4,21.1,0.00,86,10.1
2022-01-01T20:00,18.0,91,16.5,19.6,0.00,13,20.5
2022-01-01T21:00,17.7,94,16.7,19.3,0.00,11,23.0
2022-01-01T22:00,17.5,96,16.8,19.2,0.00,100,19.8
2022-01-01T23:00,17.2,98,16.8,19.0,0.00,100,3.6
2022-01-02T00:00,17.0,98,16.6,18.8,0.00,55,4.0
2022-01-02T01:00,17.0,98,16.6,18.7,0.00,100,5.4
2022-01-02T02:00,16.9,98,16.6,18.6,0.00,100,7.2
2022-01-02T03:00,16.9,97,16.4,18.5,0.00,100,10.4
2022-01-02T04:00,17.7,92,16.3,19.3,0.00,100,10.4
2022-01-02T05:00,17.8,90,16.1,19.5,0.00,100,2.9
2022-01-02T06:00,17.5,91,16.0,19.2,0.00,100,2.9
2022-01-02T07:00,16.5,96,15.9,18.1,0.00,100,2.9
2022-01-02T08:00,19.0,83,16.0,20.7,0.00,59,5.4
2022-01-02T09:00,23.0,65,16.0,24.6,0.00,19,6.8
2022-01-02T10:00,25.9,53,15.6,27.2,0.00,86,7.2
2022-01-02T11:00,26.7,49,15.1,27.9,0.00,100,9.4
2022-01-02T12:00,27.4,46,14.7,29.0,0.00,100,7.2
2022-01-02T13:00,28.7,43,14.9,31.4,0.00,100,7.2
2022-01-02T14:00,29.5,40,14.5,32.0,0.00,51,9.0
2022-01-02T15:00,29.3,39,13.9,30.7,0.00,21,9.0
2022-01-02T16:00,29.9,38,14.0,31.7,0.00,76,5.4
2022-01-02T17:00,25.6,56,16.2,27.3,0.00,100,8.6
2022-01-02T18:00,25.0,60,16.7,26.7,0.00,77,15.8
2022-01-02T19:00,21.1,78,17.1,22.8,0.00,90,12.2
2022-01-02T20:00,19.5,84,16.7,21.1,0.00,100,19.4
2022-01-02T21:00,19.0,87,16.7,20.6,0.00,100,18.7
2022-01-02T22:00,18.5,90,16.8,20.3,0.00,100,14.4
2022-01-02T23:00,18.2,91,16.7,20.0,0.00,11,4.0
2022-01-03T00:00,17.9,93,16.8,19.8,0.00,12,3.6
2022-01-03T01:00,17.5,95,16.7,19.2,0.00,60,3.6
2022-01-03T02:00,16.9,98,16.6,19.0,0.00,11,2.2
2022-01-03T03:00,16.8,98,16.4,18.6,0.00,11,1.1
2022-01-03T04:00,17.5,97,17.0,19.7,0.00,100,2.2
2022-01-03T05:00,17.4,98,17.1,19.7,0.00,100,4.0
2022-01-03T06:00,16.8,99,16.6,18.9,0.00,100,1.8
2022-01-03T07:00,17.2,98,16.9,19.2,0.00,100,3.6
2022-01-03T08:00,18.0,97,17.5,20.4,0.00,100,2.2
2022-01-03T09:00,19.0,95,18.2,21.8,0.00,100,4.7
2022-01-03T10:00,22.2,84,19.3,25.6,0.00,100,4.0
2022-01-03T11:00,24.2,68,17.9,27.3,0.00,100,6.5
2022-01-03T12:00,27.3,45,14.3,29.2,0.00,100,9.4
2022-01-03T13:00,28.7,40,13.7,30.9,0.00,100,9.7
2022-01-03T14:00,29.4,38,13.6,31.7,0.00,100,11.9
2022-01-03T15:00,29.7,36,13.0,31.5,0.00,100,11.5
2022-01-03T16:00,29.6,35,12.5,30.5,0.00,100,10.8
2022-01-03T17:00,28.9,37,12.7,28.9,0.00,100,9.4
2022-01-03T18:00,26.8,48,14.9,27.3,0.00,66,19.1
2022-01-03T19:00,21.7,71,16.2,23.0,0.00,100,19.8
2022-01-03T20:00,19.7,80,16.1,21.1,0.00,98,14.4
2022-01-03T21:00,19.3,81,15.9,20.6,0.00,100,13.7
2022-01-03T22:00,18.8,83,15.9,20.1,0.00,100,9.0
2022-01-03T23:00,18.3,85,15.7,19.8,0.00,14,2.9
2022-01-04T00:00,18.0,86,15.6,19.3,0.00,15,3.6
2022-01-04T01:00,17.5,88,15.5,19.0,0.00,16,4.0
2022-01-04T02:00,17.0,93,15.8,18.3,0.00,67,5.0
2022-01-04T03:00,16.8,92,15.5,18.5,0.00,46,1.8
2022-01-04T04:00,16.6,92,15.3,18.1,0.00,100,1.1
2022-01-04T05:00,16.3,92,15.0,17.7,0.00,100,1.4
2022-01-04T06:00,16.3,90,14.7,17.5,0.00,100,4.3
2022-01-04T07:00,15.7,91,14.2,17.0,0.00,95,1.4
2022-01-04T08:00,18.2,79,14.5,19.5,0.00,25,2.9
2022-01-04T09:00,22.5,58,13.8,23.5,0.00,79,7.6
2022-01-04T10:00,24.9,44,11.8,24.6,0.00,100,11.9
