latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.59753954,32.656742,1137.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm)
2020-01-05T10:00,24.5,62,16.8,0.00,0.00
2020-01-05T11:00,26.0,55,16.4,0.00,0.00
2020-01-05T12:00,26.9,53,16.5,0.00,0.00
2020-01-05T13:00,27.6,52,17.0,0.00,0.00
2020-01-05T14:00,27.9,52,17.2,0.00,0.00
2020-01-05T15:00,27.8,49,16.3,0.00,0.00
2020-01-05T16:00,27.9,49,16.2,0.00,0.00
2020-01-05T17:00,27.2,53,16.7,0.00,0.00
2020-01-05T18:00,25.7,64,18.3,0.00,0.00
2020-01-05T19:00,24.0,75,19.3,0.00,0.00
2020-01-05T20:00,22.7,82,19.5,0.00,0.00
2020-01-05T21:00,21.9,85,19.3,0.00,0.00
2020-01-05T22:00,21.2,88,19.2,0.00,0.00
2020-01-05T23:00,20.9,78,16.9,0.00,0.00
2020-01-06T00:00,20.1,82,16.8,0.00,0.00
2020-01-06T01:00,19.7,86,17.3,0.00,0.00
2020-01-06T02:00,19.5,89,17.5,0.00,0.00
2020-01-06T03:00,19.0,90,17.3,0.10,0.10
2020-01-06T04:00,19.1,90,17.3,0.30,0.30
2020-01-06T05:00,18.8,90,17.2,0.00,0.00
2020-01-06T06:00,18.3,94,17.3,0.00,0.00
2020-01-06T07:00,17.6,97,17.1,0.00,0.00
2020-01-06T08:00,19.3,91,17.8,0.00,0.00
2020-01-06T09:00,21.3,83,18.2,0.00,0.00
2020-01-06T10:00,23.0,74,18.1,0.00,0.00
2020-01-06T11:00,24.5,66,17.7,0.10,0.10
2020-01-06T12:00,25.5,62,17.6,0.00,0.00
2020-01-06T13:00,26.6,58,17.7,0.00,0.00
2020-01-06T14:00,26.4,58,17.5,0.00,0.00
2020-01-06T15:00,26.7,51,15.7,0.10,0.10
2020-01-06T16:00,26.7,50,15.5,0.00,0.00
2020-01-06T17:00,26.0,54,15.8,0.00,0.00
2020-01-06T18:00,25.1,62,17.3,0.00,0.00
2020-01-06T19:00,22.8,78,18.9,0.00,0.00
2020-01-06T20:00,23.2,68,17.0,0.00,0.00
2020-01-06T21:00,23.1,65,16.1,0.00,0.00
2020-01-06T22:00,20.9,80,17.2,0.00,0.00
2020-01-06T23:00,20.2,83,17.3,0.00,0.00
2020-01-07T00:00,19.7,87,17.5,0.00,0.00
2020-01-07T01:00,19.1,89,17.3,0.00,0.00
2020-01-07T02:00,19.0,89,17.1,0.00,0.00
2020-01-07T03:00,18.4,89,16.6,0.00,0.00
2020-01-07T04:00,18.2,91,16.6,0.00,0.00
2020-01-07T05:00,17.7,93,16.5,0.00,0.00
2020-01-07T06:00,17.6,94,16.7,0.00,0.00
2020-01-07T07:00,17.5,95,16.7,0.00,0.00
2020-01-07T08:00,19.6,91,18.1,0.00,0.00
2020-01-07T09:00,22.2,81,18.7,0.00,0.00
2020-01-07T10:00,24.3,67,17.8,0.00,0.00
2020-01-07T11:00,25.7,59,17.2,0.00,0.00
2020-01-07T12:00,26.6,56,17.1,0.20,0.20
2020-01-07T13:00,27.0,57,17.9,0.00,0.00
2020-01-07T14:00,27.7,55,17.7,0.00,0.00
2020-01-07T15:00,27.5,51,16.3,0.00,0.00
2020-01-07T16:00,27.6,51,16.4,0.00,0.00
2020-01-07T17:00,27.1,51,16.2,0.00,0.00
2020-01-07T18:00,25.8,61,17.8,0.00,0.00
2020-01-07T19:00,23.6,79,19.7,0.00,0.00
2020-01-07T20:00,22.6,82,19.4,0.00,0.00
2020-01-07T21:00,21.5,86,19.1,0.00,0.00
2020-01-07T22:00,20.9,89,19.0,0.00,0.00
2020-01-07T23:00,21.0,86,18.6,0.00,0.00
2020-01-08T00:00,20.6,87,18.4,0.00,0.00
2020-01-08T01:00,20.1,91,18.5,0.50,0.50
2020-01-08T02:00,19.9,92,18.5,0.10,0.10
2020-01-08T03:00,19.7,94,18.6,0.00,0.00
2020-01-08T04:00,19.7,92,18.4,0.00,0.00
2020-01-08T05:00,19.3,94,18.3,0.00,0.00
2020-01-08T06:00,18.7,97,18.2,0.10,0.10
2020-01-08T07:00,18.4,98,18.0,0.80,0.80
2020-01-08T08:00,19.4,95,18.7,0.40,0.40
2020-01-08T09:00,21.1,91,19.5,0.00,0.00
2020-01-08T10:00,22.3,80,18.8,0.00,0.00
2020-01-08T11:00,24.0,72,18.7,0.00,0.00
2020-01-08T12:00,25.0,70,19.0,0.10,0.10
2020-01-08T13:00,25.9,68,19.7,0.10,0.10
2020-01-08T14:00,24.0,72,18.6,0.80,0.80
2020-01-08T15:00,27.1,52,16.4,0.10,0.10
2020-01-08T16:00,26.8,54,16.6,0.00,0.00
2020-01-08T17:00,26.1,58,17.3,0.00,0.00
2020-01-08T18:00,24.6,68,18.4,0.00,0.00
2020-01-08T19:00,23.5,77,19.2,0.00,0.00
2020-01-08T20:00,23.0,78,19.0,0.00,0.00
2020-01-08T21:00,21.4,85,18.7,0.00,0.00
2020-01-08T22:00,20.8,87,18.5,0.00,0.00
2020-01-08T23:00,20.7,86,18.4,0.00,0.00
2020-01-09T00:00,20.6,88,18.6,0.00,0.00
2020-01-09T01:00,19.9,92,18.5,0.00,0.00
2020-01-09T02:00,20.1,91,18.5,0.00,0.00
2020-01-09T03:00,18.7,93,17.6,0.00,0.00
2020-01-09T04:00,18.9,93,17.8,0.00,0.00
2020-01-09T05:00,18.5,93,17.3,0.00,0.00
2020-01-09T06:00,18.4,94,17.4,0.20,0.20
2020-01-09T07:00,18.5,94,17.5,0.00,0.00
2020-01-09T08:00,19.9,89,18.1,0.00,0.00
2020-01-09T09:00,22.3,80,18.6,0.00,0.00
2020-01-09T10:00,24.1,70,18.3,0.00,0.00
2020-01-09T11:00,25.4,64,18.0,0.00,0.00
2020-01-09T12:00,26.9,59,18.1,0.00,0.00
2020-01-09T13:00,27.8,53,17.2,0.10,0.10
2020-01-09T14:00,28.1,48,16.0,0.00,0.00
2020-01-09T15:00,26.9,54,16.9,0.10,0.10
2020-01-09T16:00,25.7,62,17.8,0.20,0.20
2020-01-09T17:00,25.9,62,18.0,0.00,0.00
2020-01-09T18:00,25.2,66,18.3,0.00,0.00
2020-01-09T19:00,23.0,81,19.6,0.00,0.00
2020-01-09T20:00,22.0,81,18.6,0.00,0.00
2020-01-09T21:00,21.4,82,18.2,0.00,0.00
2020-01-09T22:00,20.8,85,18.1,0.00,0.00
2020-01-09T23:00,20.4,89,18.5,0.00,0.00
2020-01-10T00:00,19.9,93,18.7,0.00,0.00
2020-01-10T01:00,19.6,93,18.4,0.00,0.00
2020-01-10T02:00,19.3,94,18.3,0.00,0.00
2020-01-10T03:00,18.3,96,17.6,0.00,0.00
2020-01-10T04:00,18.2,97,17.6,0.00,0.00
2020-01-10T05:00,18.0,96,17.3,0.00,0.00
2020-01-10T06:00,17.8,95,17.0,0.00,0.00
2020-01-10T07:00,17.5,95,16.7,0.00,0.00
2020-01-10T08:00,19.2,87,17.0,0.00,0.00
2020-01-10T09:00,21.7,76,17.4,0.00,0.00
2020-01-10T10:00,23.9,65,16.9,0.00,0.00
2020-01-10T11:00,25.3,58,16.5,0.00,0.00
2020-01-10T12:00,26.3,53,15.9,0.00,0.00
2020-01-10T13:00,26.7,50,15.3,0.10,0.10
2020-01-10T14:00,27.6,45,14.6,0.00,0.00
2020-01-10T15:00,27.1,46,14.4,0.00,0.00
2020-01-10T16:00,27.3,45,14.3,0.00,0.00
2020-01-10T17:00,26.9,46,14.4,0.00,0.00
2020-01-10T18:00,25.3,56,15.9,0.00,0.00
2020-01-10T19:00,22.4,80,18.7,0.00,0.00
2020-01-10T20:00,21.0,89,19.1,0.00,0.00
2020-01-10T21:00,20.2,93,19.1,0.00,0.00
2020-01-10T22:00,19.7,95,18.9,0.00,0.00
2020-01-10T23:00,19.5,95,18.6,0.00,0.00
2020-01-11T00:00,19.0,96,18.4,0.00,0.00
2020-01-11T01:00,19.5,89,17.7,0.00,0.00
2020-01-11T02:00,19.2,84,16.5,0.00,0.00
2020-01-11T03:00,19.8,76,15.5,0.00,0.00
2020-01-11T04:00,19.5,81,16.1,0.00,0.00
2020-01-11T05:00,18.6,92,17.3,0.00,0.00
2020-01-11T06:00,18.6,94,17.5,0.00,0.00
2020-01-11T07:00,18.4,94,17.5,0.00,0.00
2020-01-11T08:00,20.0,88,18.0,0.00,0.00
2020-01-11T09:00,22.4,74,17.6,0.00,0.00
2020-01-11T10:00,24.7,61,16.6,0.00,0.00
2020-01-11T11:00,26.8,42,12.8,0.00,0.00
2020-01-11T12:00,28.3,34,10.9,0.00,0.00
2020-01-11T13:00,29.1,33,11.0,0.00,0.00
2020-01-11T14:00,29.9,32,11.4,0.00,0.00
2020-01-11T15:00,28.1,43,14.5,0.00,0.00
2020-01-11T16:00,28.5,43,14.8,0.00,0.00
2020-01-11T17:00,28.3,42,14.1,0.00,0.00
2020-01-11T18:00,26.8,51,15.7,0.00,0.00
2020-01-11T19:00,23.6,73,18.5,0.00,0.00
2020-01-11T20:00,22.1,80,18.5,0.00,0.00
2020-01-11T21:00,20.9,85,18.2,0.00,0.00
2020-01-11T22:00,20.6,90,18.9,0.00,0.00
2020-01-11T23:00,20.2,93,19.0,0.00,0.00
2020-01-12T00:00,20.3,93,19.1,0.00,0.00
2020-01-12T01:00,19.7,95,18.9,0.00,0.00
2020-01-12T02:00,19.3,95,18.5,0.00,0.00
2020-01-12T03:00,19.2,92,17.9,0.00,0.00
2020-01-12T04:00,19.1,92,17.7,0.10,0.10
2020-01-12T05:00,19.0,92,17.7,0.00,0.00
2020-01-12T06:00,18.8,89,17.0,0.00,0.00
2020-01-12T07:00,19.2,79,15.5,0.00,0.00
2020-01-12T08:00,20.9,68,14.7,0.00,0.00
2020-01-12T09:00,22.8,58,14.1,0.00,0.00
2020-01-12T10:00,24.0,57,14.8,0.00,0.00
2020-01-12T11:00,25.8,39,10.6,0.00,0.00
2020-01-12T12:00,27.5,28,7.5,0.00,0.00
2020-01-12T13:00,28.3,24,6.1,0.00,0.00
2020-01-12T14:00,29.1,23,5.7,0.00,0.00
2020-01-12T15:00,27.2,31,8.8,0.00,0.00
2020-01-12T16:00,27.8,31,9.3,0.00,0.00
2020-01-12T17:00,27.1,37,11.1,0.00,0.00
2020-01-12T18:00,24.2,64,16.9,0.00,0.00
2020-01-12T19:00,22.1,76,17.8,0.00,0.00
2020-01-12T20:00,21.0,81,17.7,0.00,0.00
2020-01-12T21:00,20.2,86,17.8,0.00,0.00
2020-01-12T22:00,19.9,87,17.8,0.00,0.00
2020-01-12T23:00,19.5,90,17.8,0.00,0.00
2020-01-13T00:00,19.3,91,17.8,0.00,0.00
2020-01-13T01:00,18.9,93,17.8,0.00,0.00
2020-01-13T02:00,19.1,93,17.9,0.00,0.00
2020-01-13T03:00,18.7,93,17.5,0.00,0.00
2020-01-13T04:00,18.8,92,17.5,0.00,0.00
2020-01-13T05:00,19.1,91,17.5,0.00,0.00
2020-01-13T06:00,19.3,90,17.6,0.00,0.00
2020-01-13T07:00,19.4,90,17.8,0.00,0.00
2020-01-13T08:00,19.8,89,17.9,0.10,0.10
2020-01-13T09:00,20.8,83,17.9,0.00,0.00
2020-01-13T10:00,23.5,70,17.8,0.00,0.00
2020-01-13T11:00,24.9,61,16.9,0.20,0.20
2020-01-13T12:00,25.4,58,16.6,0.00,0.00
2020-01-13T13:00,26.2,56,16.7,0.00,0.00
2020-01-13T14:00,25.7,56,16.2,0.00,0.00
2020-01-13T15:00,24.3,57,15.2,1.90,1.90
2020-01-13T16:00,22.6,68,16.4,0.20,0.20
2020-01-13T17:00,22.2,74,17.2,0.10,0.10
2020-01-13T18:00,22.0,77,17.7,0.00,0.00
2020-01-13T19:00,21.0,86,18.6,0.00,0.00
2020-01-13T20:00,20.0,94,19.0,0.00,0.00
2020-01-13T21:00,19.4,97,18.9,0.00,0.00
2020-01-13T22:00,19.0,97,18.4,0.00,0.00
2020-01-13T23:00,19.2,92,17.9,0.00,0.00
2020-01-14T00:00,18.7,92,17.4,0.00,0.00
2020-01-14T01:00,17.9,94,16.9,0.00,0.00
2020-01-14T02:00,17.3,95,16.6,0.00,0.00
2020-01-14T03:00,17.0,97,16.6,0.00,0.00
2020-01-14T04:00,17.8,95,17.0,0.00,0.00
2020-01-14T05:00,16.9,97,16.4,0.00,0.00
2020-01-14T06:00,16.6,96,16.0,0.00,0.00
2020-01-14T07:00,16.2,96,15.6,0.00,0.00
2020-01-14T08:00,18.4,90,16.7,0.00,0.00
2020-01-14T09:00,21.5,76,17.2,0.00,0.00
2020-01-14T10:00,24.2,61,16.2,0.00,0.00
2020-01-14T11:00,26.3,50,15.0,0.00,0.00
2020-01-14T12:00,27.9,39,12.6,0.00,0.00
2020-01-14T13:00,29.0,35,12.1,0.00,0.00
2020-01-14T14:00,29.7,34,12.2,0.00,0.00
2020-01-14T15:00,29.4,36,12.6,0.00,0.00
2020-01-14T16:00,29.6,35,12.5,0.00,0.00
2020-01-14T17:00,29.4,36,12.6,0.00,0.00
2020-01-14T18:00,27.8,42,13.8,0.00,0.00
2020-01-14T19:00,25.3,56,15.8,0.00,0.00
2020-01-14T20:00,23.2,66,16.5,0.00,0.00
2020-01-14T21:00,21.7,75,17.1,0.00,0.00
2020-01-14T22:00,20.8,81,17.5,0.00,0.00
2020-01-14T23:00,20.1,89,18.3,0.00,0.00
2020-01-15T00:00,19.5,95,18.6,0.00,0.00
2020-01-15T01:00,19.8,89,17.9,0.00,0.00
2020-01-15T02:00,20.0,87,17.8,0.00,0.00
2020-01-15T03:00,19.8,89,18.0,0.00,0.00
2020-01-15T04:00,18.5,95,17.7,0.00,0.00
2020-01-15T05:00,17.8,96,17.2,0.00,0.00
2020-01-15T06:00,18.1,94,17.2,0.00,0.00
2020-01-15T07:00,18.0,94,17.0,0.00,0.00
2020-01-15T08:00,20.7,82,17.5,0.00,0.00
2020-01-15T09:00,23.5,66,16.8,0.00,0.00
2020-01-15T10:00,25.4,57,16.4,0.00,0.00
2020-01-15T11:00,27.3,49,15.7,0.00,0.00
2020-01-15T12:00,29.0,40,14.1,0.00,0.00
2020-01-15T13:00,29.5,36,13.1,0.00,0.00
2020-01-15T14:00,30.1,34,12.4,0.00,0.00
2020-01-15T15:00,29.9,32,11.6,0.00,0.00
2020-01-15T16:00,30.2,32,11.5,0.00,0.00
2020-01-15T17:00,30.0,32,11.7,0.00,0.00
2020-01-15T18:00,28.4,39,13.2,0.00,0.00
2020-01-15T19:00,26.9,44,13.6,0.00,0.00
2020-01-15T20:00,23.8,63,16.4,0.00,0.00
2020-01-15T21:00,21.7,86,19.2,0.00,0.00
2020-01-15T22:00,21.2,88,19.2,0.00,0.00
2020-01-15T23:00,20.9,91,19.4,0.00,0.00
2020-01-16T00:00,20.5,93,19.2,0.00,0.00
2020-01-16T01:00,20.5,93,19.2,0.00,0.00
2020-01-16T02:00,21.1,88,19.1,0.00,0.00
2020-01-16T03:00,19.4,95,18.5,0.00,0.00
2020-01-16T04:00,18.8,96,18.1,0.00,0.00
2020-01-16T05:00,18.3,95,17.5,0.00,0.00
2020-01-16T06:00,18.6,91,17.0,0.00,0.00
2020-01-16T07:00,18.3,92,17.0,0.00,0.00
2020-01-16T08:00,20.3,84,17.6,0.00,0.00
2020-01-16T09:00,23.2,67,16.7,0.00,0.00
2020-01-16T10:00,25.3,58,16.3,0.00,0.00
2020-01-16T11:00,27.2,50,16.0,0.00,0.00
2020-01-16T12:00,28.6,46,15.8,0.00,0.00
2020-01-16T13:00,29.2,42,15.0,0.20,0.20
2020-01-16T14:00,27.2,54,17.2,0.30,0.30
2020-01-16T15:00,28.4,44,14.9,0.10,0.10
2020-01-16T16:00,27.9,46,15.2,0.00,0.00
2020-01-16T17:00,27.1,52,16.5,0.00,0.00
2020-01-16T18:00,26.1,59,17.5,0.00,0.00
2020-01-16T19:00,24.4,72,19.0,0.00,0.00
2020-01-16T20:00,23.1,81,19.7,0.00,0.00
2020-01-16T21:00,22.2,86,19.8,0.00,0.00
2020-01-16T22:00,21.8,88,19.7,0.00,0.00
2020-01-16T23:00,21.6,88,19.5,0.00,0.00
2020-01-17T00:00,21.3,90,19.6,0.00,0.00
2020-01-17T01:00,21.2,91,19.6,0.00,0.00
2020-01-17T02:00,21.0,91,19.6,0.00,0.00
2020-01-17T03:00,19.7,95,18.8,0.00,0.00
2020-01-17T04:00,19.7,94,18.8,0.00,0.00
2020-01-17T05:00,19.2,96,18.6,0.00,0.00
2020-01-17T06:00,19.2,96,18.5,0.00,0.00
2020-01-17T07:00,18.8,97,18.3,0.00,0.00
2020-01-17T08:00,20.9,90,19.2,0.00,0.00
2020-01-17T09:00,24.0,78,19.9,0.00,0.00
2020-01-17T10:00,26.2,64,18.8,0.00,0.00
2020-01-17T11:00,27.4,54,17.4,0.00,0.00
2020-01-17T12:00,28.8,48,16.8,0.00,0.00
2020-01-17T13:00,29.0,46,16.3,0.10,0.10
2020-01-17T14:00,29.1,45,16.0,0.00,0.00
2020-01-17T15:00,27.6,47,15.3,0.00,0.00
2020-01-17T16:00,25.8,64,18.5,0.10,0.10
2020-01-17T17:00,25.5,69,19.4,0.00,0.00
2020-01-17T18:00,25.2,67,18.6,0.00,0.00
2020-01-17T19:00,23.4,80,19.8,0.00,0.00
2020-01-17T20:00,22.1,87,19.9,0.00,0.00
2020-01-17T21:00,21.5,90,19.8,0.00,0.00
2020-01-17T22:00,21.1,91,19.6,0.00,0.00
2020-01-17T23:00,20.9,93,19.7,0.00,0.00
2020-01-18T00:00,20.8,93,19.5,0.00,0.00
2020-01-18T01:00,20.7,93,19.5,0.00,0.00
2020-01-18T02:00,20.4,95,19.5,0.00,0.00
2020-01-18T03:00,20.1,98,19.7,0.00,0.00
2020-01-18T04:00,19.9,98,19.6,0.00,0.00
2020-01-18T05:00,19.0,100,19.0,0.00,0.00
2020-01-18T06:00,19.1,100,19.0,0.00,0.00
2020-01-18T07:00,18.6,100,18.6,0.00,0.00
2020-01-18T08:00,20.7,91,19.3,0.00,0.00
2020-01-18T09:00,24.1,76,19.6,0.00,0.00
2020-01-18T10:00,26.9,57,17.6,0.00,0.00
2020-01-18T11:00,28.5,49,16.9,0.00,0.00
2020-01-18T12:00,30.0,44,16.3,0.00,0.00
2020-01-18T13:00,31.1,37,14.9,0.00,0.00
2020-01-18T14:00,29.8,41,15.0,0.20,0.20
2020-01-18T15:00,29.1,41,14.6,0.30,0.30
2020-01-18T16:00,29.1,39,13.7,0.10,0.10
2020-01-18T17:00,28.6,40,13.7,0.00,0.00
2020-01-18T18:00,27.7,47,15.2,0.00,0.00
2020-01-18T19:00,25.0,60,16.8,0.00,0.00
2020-01-18T20:00,23.6,70,17.7,0.00,0.00
2020-01-18T21:00,22.8,73,17.8,0.00,0.00
2020-01-18T22:00,22.6,67,16.0,0.00,0.00
2020-01-18T23:00,21.7,69,15.7,0.00,0.00
2020-01-19T00:00,21.0,72,15.7,0.00,0.00
2020-01-19T01:00,20.5,76,16.1,0.00,0.00
2020-01-19T02:00,20.4,76,16.1,0.00,0.00
2020-01-19T03:00,19.8,75,15.2,0.00,0.00
2020-01-19T04:00,19.7,75,15.1,0.00,0.00
2020-01-19T05:00,18.3,84,15.6,0.00,0.00
2020-01-19T06:00,17.8,84,15.1,0.00,0.00
2020-01-19T07:00,17.2,88,15.1,0.00,0.00
2020-01-19T08:00,18.8,81,15.5,0.00,0.00
2020-01-19T09:00,22.4,67,16.0,0.00,0.00
2020-01-19T10:00,24.9,58,16.2,0.00,0.00
2020-01-19T11:00,27.3,46,14.7,0.00,0.00
2020-01-19T12:00,28.7,38,13.0,0.00,0.00
2020-01-19T13:00,29.9,34,12.3,0.00,0.00
2020-01-19T14:00,31.1,29,11.1,0.00,0.00
2020-01-19T15:00,30.0,31,11.2,0.00,0.00
2020-01-19T16:00,31.0,28,10.5,0.00,0.00
2020-01-19T17:00,30.6,28,10.1,0.00,0.00
2020-01-19T18:00,27.7,40,12.7,0.00,0.00
2020-01-19T19:00,25.3,50,14.2,0.00,0.00
2020-01-19T20:00,23.3,62,15.7,0.00,0.00
2020-01-19T21:00,22.4,68,16.3,0.00,0.00
2020-01-19T22:00,21.2,61,13.5,0.00,0.00
2020-01-19T23:00,20.2,69,14.3,0.00,0.00
2020-01-20T00:00,19.9,70,14.4,0.00,0.00
2020-01-20T01:00,19.6,71,14.3,0.00,0.00
2020-01-20T02:00,18.9,75,14.5,0.00,0.00
2020-01-20T03:00,17.6,79,13.9,0.00,0.00
2020-01-20T04:00,17.8,73,12.9,0.00,0.00
2020-01-20T05:00,16.9,77,12.7,0.00,0.00
2020-01-20T06:00,17.4,71,12.1,0.00,0.00
2020-01-20T07:00,17.8,67,11.7,0.00,0.00
2020-01-20T08:00,18.8,66,12.4,0.00,0.00
2020-01-20T09:00,22.3,58,13.7,0.00,0.00
2020-01-20T10:00,25.2,45,12.5,0.00,0.00
2020-01-20T11:00,27.5,33,9.7,0.00,0.00
2020-01-20T12:00,29.1,29,9.4,0.00,0.00
2020-01-20T13:00,30.3,28,9.7,0.00,0.00
2020-01-20T14:00,30.9,28,10.3,0.00,0.00
2020-01-20T15:00,30.2,32,11.4,0.00,0.00
