"","time","temperature"
"1",2024-01-01,29.3
"2",2024-01-02,30.8
"3",2024-01-03,29.7
"4",2024-01-04,31.9
"5",2024-01-05,30
"6",2024-01-06,31.2
"7",2024-01-07,31.5
"8",2024-01-08,32
"9",2024-01-09,29.7
"10",2024-01-10,29
"11",2024-01-11,30.7
"12",2024-01-12,30.1
"13",2024-01-13,29.2
"14",2024-01-14,30.6
"15",2024-01-15,31.1
"16",2024-01-16,32.3
"17",2024-01-17,31.5
"18",2024-01-18,28.8
"19",2024-01-19,30.4
"20",2024-01-20,27.5
"21",2024-01-21,29.6
"22",2024-01-22,31.2
"23",2024-01-23,30.4
"24",2024-01-24,31.5
"25",2024-01-25,31.8
"26",2024-01-26,31.8
"27",2024-01-27,32
"28",2024-01-28,30.2
"29",2024-01-29,32.3
"30",2024-01-30,30.2
"31",2024-01-31,32.3
"32",2024-02-01,31.9
"33",2024-02-02,27.2
"34",2024-02-03,29.8
"35",2024-02-04,32.9
"36",2024-02-05,31.9
"37",2024-02-06,32.5
"38",2024-02-07,32.7
"39",2024-02-08,30.5
"40",2024-02-09,33.9
"41",2024-02-10,31.5
"42",2024-02-11,29.5
"43",2024-02-12,28.8
"44",2024-02-13,33.2
"45",2024-02-14,30.9
"46",2024-02-15,28
"47",2024-02-16,31
"48",2024-02-17,29.9
"49",2024-02-18,32.7
"50",2024-02-19,34
"51",2024-02-20,33.2
"52",2024-02-21,32.7
"53",2024-02-22,33.3
"54",2024-02-23,32.5
"55",2024-02-24,32.4
"56",2024-02-25,33.8
"57",2024-02-26,32.3
"58",2024-02-27,28.5
"59",2024-02-28,34.4
"60",2024-02-29,33.7
"61",2024-03-01,30.7
"62",2024-03-02,33.8
"63",2024-03-03,32.3
"64",2024-03-04,33.2
"65",2024-03-05,32.3
"66",2024-03-06,29.3
"67",2024-03-07,30.7
"68",2024-03-08,33.4
"69",2024-03-09,31.8
"70",2024-03-10,31.4
"71",2024-03-11,32.1
"72",2024-03-12,33.1
"73",2024-03-13,32.4
"74",2024-03-14,34.5
"75",2024-03-15,32.3
"76",2024-03-16,31.7
"77",2024-03-17,33
"78",2024-03-18,32.9
"79",2024-03-19,33.5
"80",2024-03-20,30.7
"81",2024-03-21,32.6
"82",2024-03-22,33.5
"83",2024-03-23,31.1
"84",2024-03-24,26.6
"85",2024-03-25,30.6
"86",2024-03-26,30.4
"87",2024-03-27,28.8
"88",2024-03-28,30.9
"89",2024-03-29,31.9
"90",2024-03-30,28.8
"91",2024-03-31,31.2
"92",2024-04-01,29.1
"93",2024-04-02,27.7
"94",2024-04-03,25.2
"95",2024-04-04,31.2
"96",2024-04-05,27.8
"97",2024-04-06,29.5
"98",2024-04-07,30.2
"99",2024-04-08,28.2
"100",2024-04-09,28.7
"101",2024-04-10,31
"102",2024-04-11,32
"103",2024-04-12,30.2
"104",2024-04-13,30.2
"105",2024-04-14,29.2
"106",2024-04-15,28.3
"107",2024-04-16,31
"108",2024-04-17,29.9
"109",2024-04-18,29.1
"110",2024-04-19,28.8
"111",2024-04-20,29.9
"112",2024-04-21,28.8
"113",2024-04-22,31.3
"114",2024-04-23,29.6
"115",2024-04-24,28.9
"116",2024-04-25,28.1
"117",2024-04-26,27.9
"118",2024-04-27,30.7
"119",2024-04-28,26.3
"120",2024-04-29,29.7
"121",2024-04-30,31.6
"122",2024-05-01,29.2
"123",2024-05-02,29.3
"124",2024-05-03,26.2
"125",2024-05-04,25.2
"126",2024-05-05,31.4
"127",2024-05-06,29
