"","time","temperature"
"232",2022-08-20,31.4
"233",2022-08-21,36
"234",2022-08-22,30.6
"235",2022-08-23,29
"236",2022-08-24,28.9
"237",2022-08-25,31.5
"238",2022-08-26,32.2
"239",2022-08-27,33.3
"240",2022-08-28,31.6
"241",2022-08-29,23.9
"242",2022-08-30,33.7
"243",2022-08-31,31.9
"244",2022-09-01,28
"245",2022-09-02,35.9
"246",2022-09-03,30.1
"247",2022-09-04,32.7
"248",2022-09-05,33.5
"249",2022-09-06,35.6
"250",2022-09-07,31.9
"251",2022-09-08,32.4
"252",2022-09-09,31
"253",2022-09-10,31.5
"254",2022-09-11,32.3
"255",2022-09-12,35.2
"256",2022-09-13,32.6
"257",2022-09-14,33.4
"258",2022-09-15,29.4
"259",2022-09-16,29.1
"260",2022-09-17,30.3
"261",2022-09-18,33
"262",2022-09-19,32.6
"263",2022-09-20,33
"264",2022-09-21,35.3
"265",2022-09-22,34.7
"266",2022-09-23,33
"267",2022-09-24,32.9
"268",2022-09-25,33.2
"269",2022-09-26,31.1
"270",2022-09-27,30.7
"271",2022-09-28,33.2
"272",2022-09-29,31.3
"273",2022-09-30,32.1
"274",2022-10-01,27.3
"275",2022-10-02,28.7
"276",2022-10-03,33.7
"277",2022-10-04,34.7
"278",2022-10-05,35.2
"279",2022-10-06,30.6
"280",2022-10-07,32.9
"281",2022-10-08,28.7
"282",2022-10-09,28.4
"283",2022-10-10,32.9
"284",2022-10-11,30.9
"285",2022-10-12,32
"286",2022-10-13,34.2
"287",2022-10-14,33.1
"288",2022-10-15,32.9
"289",2022-10-16,32.9
"290",2022-10-17,26.5
"291",2022-10-18,33.2
"292",2022-10-19,31.5
"293",2022-10-20,33.1
"294",2022-10-21,25.5
"295",2022-10-22,31.9
"296",2022-10-23,33.6
"297",2022-10-24,35.2
"298",2022-10-25,35.7
"299",2022-10-26,33.8
"300",2022-10-27,34.6
"301",2022-10-28,36.8
"302",2022-10-29,32.4
"303",2022-10-30,27.9
"304",2022-10-31,34.4
"305",2022-11-01,32.8
"306",2022-11-02,29.1
"307",2022-11-03,28
"308",2022-11-04,25.6
"309",2022-11-05,31.6
"310",2022-11-06,30.4
"311",2022-11-07,32.9
"312",2022-11-08,31
"313",2022-11-09,33
"314",2022-11-10,25.1
"315",2022-11-11,31.6
"316",2022-11-12,25.6
"317",2022-11-13,25.1
"318",2022-11-14,31.4
"319",2022-11-15,30.7
"320",2022-11-16,27.7
"321",2022-11-17,27.2
"322",2022-11-18,27.2
"323",2022-11-19,27.4
"324",2022-11-20,28.3
"325",2022-11-21,29.6
"326",2022-11-22,25.9
"327",2022-11-23,24.5
"328",2022-11-24,28.3
"329",2022-11-25,29.4
"330",2022-11-26,30.7
"331",2022-11-27,27.6
"332",2022-11-28,27.7
"333",2022-11-29,28.1
"334",2022-11-30,27
"335",2022-12-01,29.3
"336",2022-12-02,29.9
"337",2022-12-03,30.7
"338",2022-12-04,31.4
"339",2022-12-05,30
"340",2022-12-06,31
"341",2022-12-07,29.4
"342",2022-12-08,28.5
"343",2022-12-09,26.7
"344",2022-12-10,27
"345",2022-12-11,28.8
"346",2022-12-12,29
"347",2022-12-13,24.3
"348",2022-12-14,28.9
"349",2022-12-15,29.2
"350",2022-12-16,27.7
"351",2022-12-17,30.7
"352",2022-12-18,30.1
"353",2022-12-19,28
"354",2022-12-20,27.9
"355",2022-12-21,29.2
"356",2022-12-22,26.4
"357",2022-12-23,27.1
"358",2022-12-24,27.5
"359",2022-12-25,26.8
"360",2022-12-26,28.6
"361",2022-12-27,25.4
"362",2022-12-28,27.4
"363",2022-12-29,27.1
"364",2022-12-30,27.9
"365",2022-12-31,28.7
